id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.2174299,1783100000004027,1973,Sloopvergunning verleend,woonfunctie,187,187,1,"POLYGON Z ((73648.14 451090.143 0, 73637.079 451081.461 0, 73632.44500000001 451087.365 0, 73643.50599999999 451096.047 0, 73648.14 451090.143 0))"
pand.2174306,1783100000004037,2004,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((73628.421 451099.028 0, 73617.107 451090.417 0, 73612.545 451096.41 0, 73623.859 451105.022 0, 73628.421 451099.028 0))"
pand.2174478,1783100000004225,1965,Sloopvergunning verleend,woonfunctie,95,95,1,"POLYGON Z ((71397.997 448579.317 0, 71396.67600000001 448581.007 0, 71397.348 448581.533 0, 71403.97100000001 448586.719 0, 71409.818 448579.254 0, 71403.183 448574.058 0, 71399.897 448578.254 0, 71399.235 448577.735 0, 71397.997 448579.317 0))"
pand.2174896,1783100000004674,1964,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((73625.45 442929.408 0, 73565.784 442895.049 0, 73564.943 442896.418 0, 73509.285 442864.483 0, 73496.99000000001 442885.377 0, 73517.91899999999 442897.518 0, 73508.838 442913.036 0, 73558.458 442941.554 0, 73600.848 442965.965 0, 73611.56200000001 442947.377 0, 73613.845 442948.983 0, 73616.00999999999 442946.424 0, 73625.45 442929.408 0))"
pand.2174945,1783100000004728,1961,Sloopvergunning verleend,woonfunctie,143,143,1,"POLYGON Z ((72449.56299999999 448985.736 0, 72446.054 448985.198 0, 72446.651 448981.305 0, 72442.71799999999 448980.702 0, 72441.32000000001 448989.823 0, 72437.235 448989.197 0, 72436.696 448992.715 0, 72444.709 448993.943 0, 72444.955 448992.336 0, 72448.46799999999 448992.875 0, 72449.56299999999 448985.736 0))"
pand.2175169,1783100000004984,1993,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((71553.644 448446.515 0, 71565.929 448452.38 0, 71567.2 448448.447 0, 71568.133 448445.623 0, 71565.13400000001 448443.974 0, 71563.967 448446.311 0, 71555.58100000001 448442.38 0, 71553.644 448446.515 0))"
pand.2175198,1783100000005015,1980,Sloopvergunning verleend,woonfunctie,105,105,1,"POLYGON Z ((74467.23299999999 442910.392 0, 74461.01700000001 442903.139 0, 74452.999 442910.011 0, 74456.92600000001 442914.594 0, 74455.273 442916.01 0, 74457.56200000001 442918.681 0, 74467.23299999999 442910.392 0))"
pand.2622492,518100000231751,1932,Sloopvergunning verleend,overige gebruiksfunctie,5,5,1,"POLYGON Z ((80618.371 453199.996 0, 80617.789 453199.115 0, 80617.679 453198.948 0, 80617.128 453198.115 0, 80614.474 453199.932 0, 80615.007 453200.751 0, 80615.681 453201.788 0, 80618.371 453199.996 0))"
pand.3643992,629100000003795,1908,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((85690.307 459616.797 0, 85686.961 459617.862 0, 85689.545 459625.973 0, 85692.891 459624.908 0, 85690.307 459616.797 0))"
pand.3644061,629100000003876,1913,Sloopvergunning verleend,woonfunctie,307,307,1,"POLYGON Z ((84622.728 459712.265 0, 84622.12699999999 459711.843 0, 84625.352 459707.251 0, 84621.916 459704.838 0, 84621.08500000001 459706.021 0, 84618.262 459704.039 0, 84620.995 459700.147 0, 84621.66099999999 459700.615 0, 84623.246 459698.357 0, 84622.709 459697.98 0, 84624.336 459695.664 0, 84617.961 459691.188 0, 84614.78 459695.718 0, 84614.458 459695.493 0, 84612.83900000001 459697.797 0, 84613.40300000001 459698.193 0, 84611.554 459700.826 0, 84614.50900000001 459702.901 0, 84611.386 459707.349 0, 84621.29399999999 459714.307 0, 84622.728 459712.265 0))"
pand.3644084,629100000003902,1972,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((84604.696 459736.145 0, 84603.202 459735.07 0, 84601.64200000001 459737.237 0, 84603.136 459738.312 0, 84604.696 459736.145 0))"
pand.3644334,629100000004193,1953,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((84989.492 459965.903 0, 84992.7 459960.534 0, 84989.821 459958.814 0, 84986.613 459964.182 0, 84989.492 459965.903 0))"
pand.2676046,518100000288959,1980,Sloopvergunning verleend,winkelfunctie,31,31,1,"POLYGON Z ((74977.622 453971.73 0, 74983.852 453966.412 0, 74980.976 453963.014 0, 74974.682 453968.261 0, 74977.622 453971.73 0))"
pand.4157970,606100000004855,1800,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((84355.325 440572.591 0, 84353.50599999999 440576.496 0, 84360.34 440579.587 0, 84362.25999999999 440575.832 0, 84355.325 440572.591 0))"
pand.9543642,599100000693312,1900,Sloopvergunning verleend,industriefunctie,325,391,2,"POLYGON Z ((88773.71000000001 439646.16 0, 88761.12 439638.2 0, 88755.69 439647.08 0, 88749.02 439658.16 0, 88749.155 439658.252 0, 88753.326 439661.119 0, 88753.717 439661.388 0, 88762.39999999999 439647.871 0, 88769.762 439652.61 0, 88773.71000000001 439646.16 0))"
pand.9544582,599100000700131,1955,Sloopvergunning verleend,"kantoorfunctie, winkelfunctie",147,1609,8,"POLYGON Z ((92819.75 437370.27 0, 92824.7 437360.35 0, 92819.91 437358.77 0, 92811.97 437356.17 0, 92811.99000000001 437356.11 0, 92801.497 437352.649 0, 92799.698 437358.119 0, 92798.05100000001 437363.127 0, 92808.52 437366.61 0, 92814.94 437368.72 0, 92819.75 437370.27 0))"
pand.2635415,518100000245088,1931,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((81533.924 452036.216 0, 81535.298 452034.088 0, 81534.401 452033.53 0, 81533.06299999999 452035.68 0, 81533.924 452036.216 0))"
pand.2635593,518100000245273,1931,Sloopvergunning verleend,"winkelfunctie, woonfunctie",48,97,5,"POLYGON Z ((81506.98 452133.544 0, 81507.94899999999 452131.795 0, 81509.423 452132.557 0, 81509.97900000001 452131.589 0, 81507.12699999999 452130.15 0, 81507.56299999999 452124.928 0, 81507.621 452124.2 0, 81502.143 452123.762 0, 81502.08500000001 452124.485 0, 81501.80100000001 452124.458 0, 81501.62699999999 452126.757 0, 81498.637 452126.495 0, 81497.387 452141.964 0, 81506.25599999999 452142.704 0, 81506.916 452134.361 0, 81506.98 452133.544 0))"
pand.5424231,599100010036897,1880,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((92226.64200000001 443623.627 0, 92179.23 443565.98 0, 92152.372 443587.796 0, 92149.766 443590.038 0, 92201.12 443652.63 0, 92216.607 443639.826 0, 92212.74800000001 443635.189 0, 92226.64200000001 443623.627 0))"
pand.5424491,599100010037188,1971,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((91313.35000000001 440582.84 0, 91338.47 440583.13 0, 91338.53999999999 440575.48 0, 91313.41 440575.22 0, 91313.35000000001 440582.84 0))"
pand.5424875,599100010037622,2008,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((68280.067 439671.957 0, 68265.24000000001 439675.39 0, 68266.958 439682.906 0, 68281.80499999999 439679.513 0, 68281.674 439678.954 0, 68281.284 439679.046 0, 68279.798 439672.6 0, 68280.216 439672.526 0, 68280.067 439671.957 0))"
pand.2177486,1783100000007536,1967,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((76133.973 443609.707 0, 76131.046 443609.698 0, 76131.037 443612.378 0, 76133.965 443612.387 0, 76133.973 443609.707 0))"
pand.2177828,1783100000007910,1958,Sloopvergunning verleend,woonfunctie,126,126,1,"POLYGON Z ((77450.22500000001 444197.91 0, 77445.739 444193.849 0, 77438.11 444202.275 0, 77439.156 444203.222 0, 77438.125 444204.361 0, 77440.745 444206.733 0, 77442.826 444204.434 0, 77443.64599999999 444205.177 0, 77450.22500000001 444197.91 0))"
pand.2177829,1783100000007911,1961,Sloopvergunning verleend,woonfunctie,130,130,1,"POLYGON Z ((77100.806 444157.623 0, 77095.076 444153.076 0, 77089.70600000001 444159.842 0, 77089.065 444159.333 0, 77085.997 444163.199 0, 77092.31600000001 444168.214 0, 77094.557 444165.39 0, 77096.16800000001 444166.669 0, 77098.561 444163.653 0, 77097.00199999999 444162.417 0, 77100.806 444157.623 0))"
pand.2177830,1783100000007912,1968,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((77094.429 444171.827 0, 77091.485 444169.487 0, 77086.886 444175.274 0, 77089.83 444177.614 0, 77094.429 444171.827 0))"
pand.2672010,518100000284803,1931,Sloopvergunning verleend,woonfunctie,87,87,1,"POLYGON Z ((81561.94 452060.294 0, 81562.13499999999 452057.791 0, 81551.413 452056.927 0, 81551.338 452057.832 0, 81551.024 452061.65 0, 81560.71000000001 452062.441 0, 81560.86500000001 452060.156 0, 81561.94 452060.294 0))"
pand.7382826,599100000319016,1990,Sloopvergunning verleend,winkelfunctie,118,118,1,"POLYGON Z ((89899.88 438228.17 0, 89899.46000000001 438228.44 0, 89899.21000000001 438228.09 0, 89896.46000000001 438230.03 0, 89894.66 438233.9 0, 89900.31 438241.93 0, 89906.10000000001 438237.86 0, 89905.53999999999 438237.06 0, 89905.946 438236.774 0, 89908.823 438234.751 0, 89909.45 438234.31 0, 89903.38 438225.68 0, 89902.749 438226.129 0, 89899.88 438228.17 0))"
pand.10048758,1783100000001239,1925,Sloopvergunning verleend,woonfunctie,149,149,1,"POLYGON Z ((77494.98299999999 449342.197 0, 77489.80899999999 449339.615 0, 77487.48 449344.282 0, 77485.817 449343.452 0, 77480.681 449353.747 0, 77482.887 449354.848 0, 77483.109 449356.001 0, 77485.091 449356.989 0, 77486.04399999999 449356.504 0, 77486.632 449356.798 0, 77489.91 449350.227 0, 77492.552 449351.546 0, 77494.45 449347.742 0, 77492.66099999999 449346.849 0, 77494.98299999999 449342.197 0))"
pand.4737247,518100001670430,1979,Sloopvergunning verleend,overige gebruiksfunctie,54,54,1,"POLYGON Z ((79433.77899999999 459129.523 0, 79439.466 459135.513 0, 79443.211 459131.568 0, 79437.594 459125.813 0, 79433.77899999999 459129.523 0))"
pand.6070301,1842100000010769,1967,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((79712.17600000001 441106.133 0, 79722.463 441108.222 0, 79723.519 441103.468 0, 79721.524 441101.222 0, 79713.674 441099.593 0, 79712.17600000001 441106.133 0))"
pand.6070991,1842100000011619,1955,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((84492.474 442529.25 0, 84494.15700000001 442524.616 0, 84490.774 442523.387 0, 84489.091 442528.021 0, 84492.474 442529.25 0))"
pand.6070992,1842100000011620,1955,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((84497.96000000001 442512.824 0, 84500.515 442506.189 0, 84493.287 442503.418 0, 84491.889 442507.064 0, 84490.742 442510.057 0, 84497.96000000001 442512.824 0))"
pand.6071137,1842100000011804,1994,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((81533.583 446493.187 0, 81540.243 446482.881 0, 81535.77499999999 446479.994 0, 81529.11599999999 446490.3 0, 81533.583 446493.187 0))"
pand.692961,1783100000057163,1970,Sloopvergunning verleend,industriefunctie,60,60,1,"POLYGON Z ((77409.591 444223.279 0, 77417.466 444230.42 0, 77420.701 444233.353 0, 77429.06 444224.09 0, 77437.048 444215.18 0, 77427.658 444207.161 0, 77425.708 444205.324 0, 77409.591 444223.279 0))"
pand.4721157,518100000342305,1931,Sloopvergunning verleend,woonfunctie,87,87,1,"POLYGON Z ((81535.423 452068.487 0, 81535.716 452064.89 0, 81535.799 452063.867 0, 81526.211 452062.706 0, 81526.00999999999 452065.429 0, 81526.84600000001 452065.526 0, 81526.64999999999 452067.717 0, 81535.423 452068.487 0))"
pand.4721671,518100000342827,1931,Sloopvergunning verleend,woonfunctie,87,87,1,"POLYGON Z ((81533.06200000001 452097.534 0, 81533.38 452093.627 0, 81533.458 452092.668 0, 81523.376 452091.724 0, 81523.228 452093.815 0, 81524.394 452093.985 0, 81524.132 452096.704 0, 81528.652 452097.08 0, 81532.96000000001 452097.524 0, 81533.06200000001 452097.534 0))"
pand.4721672,518100000342828,1931,Sloopvergunning verleend,woonfunctie,87,87,1,"POLYGON Z ((81534.33 452081.937 0, 81534.63499999999 452078.182 0, 81525.815 452077.429 0, 81525.62 452079.732 0, 81524.338 452079.656 0, 81524.17999999999 452081.906 0, 81534.247 452082.959 0, 81534.33 452081.937 0))"
pand.4721922,518100000343079,1931,Sloopvergunning verleend,woonfunctie,87,87,1,"POLYGON Z ((81558.855 452098.972 0, 81559.087 452096.115 0, 81548.261 452095.255 0, 81548.186 452096.173 0, 81547.86900000001 452100.03 0, 81557.624 452100.781 0, 81557.791 452098.911 0, 81558.855 452098.972 0))"
